Label,wavelet.LLH_glcm_Idn,wavelet.LHL_firstorder_Median,original_shape_Elongation,wavelet.LHL_glcm_MaximumProbability,wavelet.LLL_glcm_Correlation,log.sigma.1.mm.3D_firstorder_90Percentile,wavelet.HLH_glcm_MCC,wavelet.HHL_firstorder_Median,wavelet.HHL_ngtdm_Contrast,original_firstorder_10Percentile
1,0.798564668,-1.001383457,-0.229705299,-0.559436382,0.982556844,-0.099199027,-0.612122473,-0.044622297,-0.89991278,1.650775638
0,-1.721644428,-0.334367161,0.532001329,0.832177436,-0.104991529,0.744789651,2.48384971,0.070096426,0.20652791,-2.207934798
1,-0.285495116,-0.134418123,1.091100679,0.184429141,1.080171596,-0.576196428,-0.377086291,-0.130445042,-0.678871649,0.29195832
0,-0.20258699,-0.879055433,-0.023596183,-1.649768556,0.486828288,0.419725955,-0.850125698,1.076282583,-0.150045058,1.09953129
1,0.788075751,-0.707270522,0.453887127,-0.881011085,0.121290434,-1.141217359,-1.172298605,0.622010276,-0.543682057,1.702225111
1,0.15092793,-2.318956416,-1.012438478,-1.897907009,0.834017824,0.662053943,-0.575933458,0.460091371,-0.613223387,0.802778083
1,0.877190398,-0.772872003,1.000049126,0.114976514,1.000673203,-1.037322265,-1.111827331,0.7986922,0.141320314,1.375153464
0,0.867792073,0.098386465,0.09370519,0.333349102,0.974338188,-0.698668706,-0.869881121,0.388325041,-0.365277095,-1.050321667
0,-0.655648741,-0.097878225,0.479154677,1.620060044,-0.907612795,-0.425128972,1.190776696,-1.168499015,-0.477836251,0.217540333
0,0.472222291,0.202948502,0.676993015,-0.098490683,-0.800180511,-0.120227067,-0.139270096,-0.078156739,-0.024079555,-0.150874639
0,-2.184782063,-0.030403055,0.783604882,1.352320358,0.024375943,-0.210711725,1.828851511,0.080040882,2.575616004,-3.613607886
0,0.315173079,-0.4426652,-0.392837288,0.849158569,-0.035260927,0.222408182,0.936232095,0.4992543,-0.447461522,-0.324516609
1,0.448907928,-0.158207343,0.610012384,-0.809000244,0.661721501,0.946060319,0.668402618,-0.018681578,-0.633106055,-0.076456652
0,-1.142041115,-0.486018502,1.319793426,0.162302101,-1.691589821,0.023222859,1.08132953,-0.228857802,0.049383102,-0.388828449
0,-0.623603102,3.119741531,0.374751114,-1.785169562,0.230348296,1.44398072,-0.776351186,0.098699376,-0.400133603,0.144041087
1,0.920911993,-0.106506675,0.989874115,0.747387537,1.047403644,-1.151438787,-0.73948303,-0.360350706,-0.437192043,0.079729246
1,-0.593775517,-2.715142739,0.909109277,-1.153426437,-1.893213141,-1.592367122,-0.185605549,-1.279531098,-0.026261555,0.761434757
0,-0.546513143,-0.228826099,-0.100723168,-1.026508474,-0.916215062,-0.278028813,0.937338015,-0.393329129,0.209601148,-0.554201754
1,1.912142636,0.075253042,0.85690252,0.121727984,1.133783454,-0.633358164,-0.694725301,0.177615266,-0.922832405,0.309414391
0,-0.189865608,1.040544943,0.674471401,0.427467932,0.587119779,2.546133025,-0.657170013,0.378646414,-0.498845168,-0.84819874
0,-0.018036699,-0.001740048,-0.364223076,1.441885467,-0.35936998,-0.208415749,-0.770080039,0.09695787,0.137808233,0.033792217
0,0.476990116,0.22861056,0.257984493,1.574367285,0.605294579,-0.32724372,0.475796798,-0.415844163,-0.246180905,0.167928342
0,0.978221378,-0.530637368,0.967692797,-1.255725061,0.532235825,0.792335225,-0.397916617,-0.837262089,-0.469129098,-0.710387653
1,-0.511420735,0.008891305,1.561528133,0.005013228,0.453729909,-0.115027289,-0.494635927,-1.166779852,-0.715159424,-1.259794519
1,-0.26307131,1.21053341,0.063893649,-1.194277807,-0.132600837,0.95599511,0.689248714,-0.291607965,-0.024822355,-0.443952884
0,-2.604990764,1.440328176,-0.314643518,0.84622841,-2.637429683,4.880359572,-0.709882601,-0.981086992,1.093488792,-0.765512087
0,-1.7834454,1.708357065,-0.311547865,-0.952216804,-1.535797791,0.512152825,-0.350026714,5.846110208,3.927212039,-1.016328266
0,1.161002172,-0.111372005,-0.458590641,1.642210721,-0.003776567,-0.771577556,1.094476527,0.05879863,2.630662874,-0.535826942
0,-0.000551541,-0.067999881,0.226013725,0.522043914,-0.838393613,-0.769447236,-0.30351128,-0.298107407,-0.31842977,0.438038073
1,1.213037095,-0.25975143,-0.69311804,-0.515183632,0.937509599,-0.796760542,-0.703963547,0.034198486,-0.88081521,-0.526639536
0,0.528935192,0.107141521,1.443594809,0.373857898,0.476483234,-0.743114229,-1.053024805,-0.036007216,-0.847850297,0.25888366
0,-0.864393156,0.050328595,0.931391786,0.941500887,-0.614765664,0.148148133,0.299756561,0.249062772,2.573460471,-0.45314029
1,-0.254223147,1.073373917,0.761770426,0.539398382,0.851865737,0.918215898,1.787283418,-0.201232499,-0.194283482,-0.260204768
1,1.400674114,-0.170544484,0.682915908,-0.286050064,0.640327061,-0.967586497,-0.74599245,0.135814002,-0.442179787,0.762353497
0,-0.326962555,1.009324225,-0.097925968,-0.857073555,0.310807699,0.307502598,-0.485387119,0.870935085,-0.668013916,-0.287766986
0,-1.167162958,-0.483252918,-0.761905243,-0.018509875,-0.951771654,1.011606014,1.510524061,-2.980500631,-0.158668739,-0.627701
