batch,Label,log.sigma.2.mm.3D_glcm_ClusterShade,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.1.mm.3D_glcm_MCC,wavelet.LLH_glszm_GrayLevelVariance,log.sigma.3.mm.3D_firstorder_Skewness,wavelet.HLL_glszm_ZonePercentage,wavelet.HLL_firstorder_Skewness,wavelet.LHL_glcm_Correlation,wavelet.LLH_glrlm_GrayLevelNonUniformityNormalized,log.sigma.2.mm.3D_glcm_Imc1
1,1,0.085617776,0.48255808,-0.656473847,0.781732343,0.225421143,-0.616563017,-0.282509615,-0.643004355,-0.451281833,-0.059741238
1,1,0.089213462,0.161604816,-0.054579667,0.240768374,0.430910589,-0.106042837,0.560641732,-0.31036873,-0.540927201,1.276734862
1,0,0.052425469,-0.007977014,0.288323278,0.271922581,-0.541107655,-0.551667637,0.139224163,-0.113998646,-0.557266129,0.025821923
1,0,0.094324595,-0.305522032,0.189806542,-0.256170244,0.744484913,-0.20547174,-0.593260465,-0.120405461,0.148522881,-0.440899654
1,0,0.066373717,-0.037710212,0.304238728,0.944282913,-0.097949426,-0.347564669,0.492709081,-0.486187169,-1.189306343,0.229745897
1,0,0.081407734,0.096388513,0.116746392,0.174431277,0.061196587,-0.713484807,-0.937372806,-0.819811017,0.208328049,-0.041084108
1,0,0.080089084,0.899038525,-0.710426253,0.192998147,-2.034010676,-0.611103173,-0.824128751,-0.224958177,0.470119514,-1.675289011
1,0,0.058444805,-0.113596083,0.374681482,0.431427031,-0.948014306,-0.687204763,0.257586038,-0.547677481,-0.433675738,-1.592581411
1,0,0.08703746,0.214890621,-0.208973898,-0.630673463,0.148343855,0.282470776,1.099693227,-0.418501299,0.518974808,0.613519497
1,0,0.09249628,0.666839867,-0.742525677,-0.518449465,0.060063918,0.690423109,2.027932638,-0.581863818,0.082756185,0.996567337
1,0,0.095205663,0.869849857,-0.610943644,-1.303055441,1.499747365,2.165191394,0.464247566,-0.78375152,1.572171436,1.304075691
1,1,0.056160598,-0.090314042,0.438093816,-0.103406401,-0.745410578,-0.40911985,-0.347983928,-0.724230901,0.080191754,-0.330221905
1,1,0.080955352,-0.000492362,0.000648408,-0.748321765,-0.477335063,-0.484049665,0.038916637,-0.080106614,2.963808088,0.082966173
1,1,0.024564136,-0.786631473,0.942443022,0.490272864,-1.122220284,-0.293430465,-0.517000644,0.981825063,-0.175753952,0.032890892
1,0,0.092366246,0.662024365,-0.760827525,-0.507009693,0.716520954,0.73860518,-1.687971454,-0.984391439,0.410284756,1.044234957
1,0,0.089849291,0.702410115,-0.661672843,0.145526388,0.534366906,0.556829611,0.104981174,0.600952412,0.105999597,0.570220501
1,0,0.088067734,0.022362806,0.080575405,-0.681874046,0.669093721,0.330370389,0.326465375,0.757121826,0.142283119,0.974425826
1,1,0.07768814,0.210797906,-0.000115325,-0.190184078,-0.659994196,0.549567485,-0.550902525,-0.201596956,-0.077435399,0.33806763
1,1,0.020109549,-0.37249943,0.699484855,-0.38485419,-0.377802038,-0.004302858,-0.074022503,-0.376881885,-0.428438664,0.06382392
1,1,-0.392825418,-2.055881722,2.247822063,1.756292645,-1.375242274,-1.081510442,-0.412741517,1.945826094,-1.855612182,-0.152083388
1,1,-0.124607896,-1.437063595,2.082486767,4.436608083,0.84716566,-0.810385782,0.41910005,2.82523943,-2.718617998,0.74058927
1,0,0.096136705,-0.120875797,-0.228936046,-0.886501593,3.385546348,2.32804446,-1.033145472,-0.988324804,0.63559954,1.025034909
1,1,-0.081237623,-1.142770672,1.330059169,-0.042119777,0.271890138,-0.287184219,0.266219609,0.918557403,-0.279879589,0.233046474
1,0,0.089433103,0.524944013,-0.550342193,-0.300208483,-0.026020392,-0.317099145,-0.073168152,0.202490807,0.66292587,0.077238983
1,0,0.09321196,0.825574306,-0.783553582,-0.319574006,0.304132277,0.426220932,1.847783418,-0.147888124,-0.023471236,0.270110922
1,0,0.031861988,-0.672749968,0.830529531,0.244504756,-0.359232554,-1.473278539,0.484504126,0.165099911,-0.817272039,0.560410941
1,1,0.090328414,0.186619657,0.077734448,0.356723514,0.148695379,-0.671224383,-0.551172155,-0.269876887,0.54328828,-2.560014388
1,1,0.038657196,-0.094255618,0.41046132,-0.10404052,-1.714646133,-0.58988867,0.434589066,-0.097862295,0.318198197,-1.274332318
1,1,4.51E-05,-1.053994197,1.064056895,0.093624134,-0.580990405,-1.381174259,-0.800794517,-0.042106355,-0.191408247,-0.501661786
1,0,0.037181316,-0.594400514,0.721645658,0.149695314,-0.908476795,0.015860937,0.398106258,0.238719468,-0.320706214,-0.396091723
1,1,0.066639048,0.338936677,0.055078899,0.41077245,-1.481621935,-0.760123805,-0.055175865,-0.272817832,-0.123960855,-2.374577223
2,1,-0.21241264,-1.294078883,1.589371215,1.658991938,-0.346881926,-0.405607621,-0.142354131,0.759205254,-2.209174433,0.125422118
2,0,0.327007483,0.807851079,-0.760261341,-0.334155188,-0.201282348,-0.312579582,-0.767267945,-0.086286623,0.797582294,-0.690509347
2,1,0.330723272,-0.126526032,-0.369675383,-0.742426856,1.154073523,-0.312579582,-2.082022199,-0.960170281,0.702489202,1.107320033
2,1,0.333262834,0.130030367,-0.39330982,-1.120554621,1.006074987,0.123731269,-0.955994524,-1.281647643,1.231541082,0.931225476
1,0,0.091704905,0.708701468,-0.690342037,-0.346989251,0.484981511,1.044959679,1.205760348,-0.993141545,0.353769195,1.601547769
1,0,0.093202546,0.988027719,-1.12694163,-0.92473492,1.125973714,2.304800168,0.444663194,0.713868051,0.801869397,1.285167766
1,0,0.088046163,-0.190100208,0.155606938,-0.760372173,0.533595247,0.130934241,-1.736740959,0.750954333,-1.011440316,0.9364311
1,0,0.089146815,0.642502128,-0.706716308,-0.443002797,0.840573763,0.471612756,-1.107337371,-0.572200278,0.448816693,0.140657727
1,0,0.093497859,0.685097105,-0.786318099,-0.778071563,1.161629407,0.724188491,1.550520611,-0.145607173,0.241471567,0.631660293
1,1,0.079880287,0.036711715,0.118343063,0.12327838,-0.149694558,-0.712009019,-0.491012985,-0.580926823,0.14890194,-1.290430416
1,1,-0.002363542,-0.587728935,0.910976914,-0.01430408,-1.121684215,-0.73031036,-0.24696022,0.110981817,0.329184367,0.278463994
1,1,0.07117748,-0.702613616,0.805178597,0.709278367,0.172407522,-1.449812699,-0.678946696,-0.598836216,-0.11244475,-1.486826142
1,1,0.085398405,0.509328377,-0.432516839,0.382658989,-0.295019528,-0.702793642,-1.394445035,0.25537966,0.329477459,-0.462577639
1,1,0.04403922,-0.736073471,0.891987143,0.763079405,-0.418264298,-0.970083675,0.039707098,-0.367027624,-0.468792027,-1.494187915
1,0,0.091443934,-0.346893176,-0.348505308,-1.1816059,-0.855357893,-1.350586883,-1.605714863,-0.850136547,0.590727017,0.231889862
1,0,0.092958888,1.272701605,-1.406174656,-0.116499535,0.114021198,-0.111886098,3.386629609,-0.151133619,0.327994719,0.899935093
1,0,0.092787867,-0.044309876,-0.700107421,-2.017758952,2.084730679,5.856527571,0.058998062,-1.436488921,2.611333545,1.471152196
1,0,0.093200969,-0.977095954,-0.117330853,0.141871046,2.448085247,2.912980164,-1.298742169,-1.624813966,-0.98503474,0.873537424
1,0,0.093576411,0.773429593,-0.89770996,-1.01389398,2.738556595,2.007273257,2.441722263,0.142496356,-0.261948436,0.467794216
1,1,0.079267599,1.109911783,-0.987011534,-0.026724429,-1.656917746,0.168185092,2.023322697,-0.545218113,0.640377831,-0.680699449
1,1,0.080973362,0.002041584,-0.038711935,-0.625063194,-0.206931617,-0.184062526,0.161189417,-0.120600054,1.075267221,0.383779856
1,1,-0.022119929,-0.84507699,1.113431409,0.296850805,-1.7088884,-0.729974243,-0.464014261,0.179471832,-1.429515013,-0.244058752
1,0,0.089447809,-0.13781357,-0.223015581,-0.560536105,-0.510904846,-0.312149204,0.272950385,-0.390580533,0.143625384,0.25873411
1,1,0.024243635,-0.728235491,0.778197048,0.634623018,0.38507213,-0.242519212,-0.329701381,0.613199846,-0.063145613,0.532095821
1,1,0.084820795,-0.287707975,0.394640099,-1.088696784,-0.264426137,-0.512238648,0.031987324,0.137646342,-0.423727067,0.059527456
1,0,0.092173046,0.217635518,-0.637349413,-0.176539306,-0.53130454,-0.574171102,-1.337740827,-0.142773883,0.895816567,0.629147278
1,0,0.091345643,-1.942699444,0.449864296,-0.798983301,0.167106864,-0.290059473,-0.885075516,-0.232060589,0.919974492,0.486784437
1,0,0.08636919,-0.000621966,-0.319942547,-0.102622342,-4.848655156,-1.392353048,-1.621449734,-0.719211732,0.348027911,-1.096760578
1,0,0.091382165,-0.968592603,0.08259607,-0.621488903,-0.194402318,-0.824362101,-1.045223174,-0.422931082,0.535367906,0.648657939
1,0,0.092607318,-0.453103108,-0.262774466,-0.641505983,0.147033668,0.11225575,-1.221288507,-1.187156035,0.049896717,1.590906994
1,1,0.086692274,1.018411494,-0.906299895,-0.071462776,-0.659041463,-0.749196495,-0.03589653,0.250136524,0.315250588,-0.499670673
1,1,0.073875595,0.264225576,-0.075924236,-0.105748619,-0.805099833,-1.160837291,-0.932095429,-0.014548255,0.466750266,-1.112081311
1,1,0.09124828,-0.421026283,-0.258548628,-0.663012173,-0.700115133,-0.831282998,-1.137577202,-0.802968544,0.61124264,0.251347676
1,1,0.070063193,0.523761835,-0.223604137,0.260657826,-0.918330213,0.392425142,1.650114844,-0.278977607,-0.710160373,-0.02160586
