batch,Label,log.sigma.1.mm.3D_glcm_MCC,log.sigma.1.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis,log.sigma.3.mm.3D_glszm_SizeZoneNonUniformityNormalized,wavelet.LHH_glszm_SmallAreaEmphasis,wavelet.HHH_glcm_MaximumProbability,log.sigma.2.mm.3D_glcm_Imc1,wavelet.HHL_glcm_MaximumProbability,wavelet.HLH_glrlm_ShortRunLowGrayLevelEmphasis,wavelet.LLH_firstorder_Kurtosis,wavelet.LHH_glrlm_RunEntropy
1,0,-0.223015581,-0.150044865,1.778383365,-0.414667534,1.126166651,0.25873411,2.410607543,-0.698210862,-0.837784305,0.206202071
1,1,0.778197048,-0.16741247,0.730064295,-1.141924105,-0.71938191,0.532095821,-1.108218731,0.63468566,1.059725825,-0.815969147
1,1,0.394640099,-0.537572939,0.525009969,0.646278141,0.845551496,0.059527456,1.432920424,0.562668484,-1.813209698,0.575990713
1,0,-0.637349413,2.354738881,3.658443464,-0.165055812,1.207175732,0.629147278,1.425732115,0.074027283,0.134749513,-0.609416957
1,0,0.449864296,-0.271247953,1.778383365,0.924333434,1.783789892,0.486784437,3.272264319,-0.661970795,-0.300277364,-1.5681053
1,0,-0.319942547,0.162467374,-0.574889136,0.343764256,0.776892969,-1.096760578,1.519102273,-1.021304008,-0.711227777,2.859383827
1,0,0.08259607,1.235472598,1.778383365,0.967943964,2.78043216,0.648657939,3.5658677,0.207755226,-0.646950229,-0.469788269
1,0,-0.262774466,3.010984126,0.83835332,-1.435061155,0.786230202,1.590906994,1.408202846,-0.982968838,-0.298148994,-1.583407852
1,1,-0.906299895,-0.018708117,-0.22637459,0.09587279,-0.135233464,-0.499670673,0.278854583,-0.418641344,0.409535744,1.143596462
1,1,-0.075924236,-0.579304811,-0.233203562,0.734784682,0.032170116,-1.112081311,-0.276322247,-0.475725408,-0.495440245,1.208317949
1,1,-0.258548628,5.152495109,1.778383365,-0.015719919,0.954406233,0.251347676,1.974229872,-0.535724369,-0.178429678,1.399179772
1,1,-0.223604137,0.235961677,-0.171308585,1.376734245,-0.365927489,-0.02160586,-0.332814086,-0.253693004,0.424654214,0.330421165
1,1,-0.454312378,0.200925394,-0.449836006,-0.096643591,-0.776024456,-0.784691443,0.227567873,-0.930480043,2.053153478,0.65139535
1,1,-0.157275267,-0.232140097,0.348916185,0.161283661,0.331066207,-0.578079925,1.229806973,-0.864128805,-0.164589489,1.91246392
1,1,0.473249055,-0.127613771,-0.590622464,0.57769641,-0.999611247,-0.486022165,-1.167761073,-0.470174622,0.310065945,0.266372275
1,1,0.770718848,-0.621690083,-0.158830554,0.665304352,-1.157545747,-0.88526883,-0.997807578,-0.512669599,0.750572477,1.009597282
2,0,-0.524484029,0.187299399,-0.790943316,0.642146849,-0.044086307,-0.706093997,-0.266081031,-0.398292742,-0.959500854,0.647668561
2,0,-0.987296396,0.196572969,-0.510583975,1.203171361,0.57873749,-0.314512426,0.695911015,-0.819868197,-0.684043491,0.317005463
2,0,-0.738497844,-0.13531642,-0.707262556,0.053723989,0.415321932,0.218619943,-0.103728269,-0.656987106,1.289487462,0.155243998
2,0,-0.737128893,0.975260619,0.086753757,1.500424867,2.341248309,0.557061145,3.277978935,0.295941182,-1.695321875,0.606226521
1,0,-1.182424728,0.315888554,-0.646782912,-1.229982295,0.765759017,0.004736037,-0.05366074,-1.143151051,0.336848809,-0.537410611
1,0,-0.654843282,-1.001903343,-0.449836006,-0.697074559,0.230657575,0.818359466,-0.161703054,-0.309332531,2.030788938,0.948485758
1,0,-0.70069783,0.617943381,-0.728363427,-0.448431117,-1.260595341,-1.485142238,-0.993903544,0.135295903,1.170065371,-0.903272249
1,1,-0.928058893,1.917733833,-0.219180483,-0.562378374,0.585076878,0.609394035,1.55730995,-0.303609335,-0.990581014,0.821924512
1,1,-0.44261496,-0.269212549,-0.120477328,0.046818356,-0.077366988,0.103162688,-0.077269349,-0.816096849,-0.62730623,0.773849448
1,1,1.200387532,-0.418268911,-0.01938453,0.714913064,-0.526730629,-2.22531872,0.205727529,-0.532724282,0.589195891,0.809876973
2,0,-0.815395866,-0.831708872,-0.790262332,0.370453123,-0.359254789,0.643157167,-0.085278558,-0.404037982,1.222081251,0.979421514
2,0,0.03683645,-0.764573084,3.637978384,-0.825379663,-0.060152905,-0.363251458,0.489590542,0.212285348,0.588592051,-0.345818751
2,1,1.425738236,-0.939545772,-0.17707417,-0.257245999,-0.209061327,0.118050869,-0.260757144,0.312236784,-0.210475888,-0.654495861
2,1,0.897158434,-0.901073899,-0.467004897,0.987029834,0.444196981,0.458141258,-0.948361456,2.460851588,-1.672936656,-0.327447081
2,0,-0.756482509,-0.315921904,0.200472053,0.770676061,-0.292787565,-1.064696737,-0.235057499,-0.613348207,-0.82164148,0.981499698
2,0,-0.264830084,0.195068982,-0.27881348,0.15208917,-0.87451976,-0.710951169,-0.133167802,-0.93439909,-0.640907631,2.284360208
2,0,-0.394345918,0.824071542,-0.548288761,0.426049013,-0.891684667,0.414187038,-0.777384389,-0.752933638,0.907716905,-0.550128591
2,0,-0.536054402,-0.73211718,-0.966250418,-0.916145939,1.223719997,0.337954325,1.746242623,-0.005148365,-1.252409563,0.667805411
2,0,-0.873059758,-0.66830478,-0.333509511,0.515342691,-1.160945711,0.048926851,-0.228698014,-0.880924139,-0.78078185,-0.240449598
2,1,-0.575088983,-0.262502848,-0.044453374,0.034649495,-1.121564,-0.378494663,-0.059122036,-0.888976086,-0.315046249,1.20104097
2,1,1.889859485,-0.149971587,-0.618791015,1.320150363,-0.45198292,-0.591555124,0.948636494,0.263686006,-0.996868647,-0.101921072
2,1,2.111318944,-0.950466823,0.493853543,-0.469415544,-0.77255928,-1.382241566,-0.893880967,-0.502521485,0.386883081,0.585805902
