Label,wavelet.LLH_glcm_Idn,wavelet.LHL_firstorder_Median,original_shape_Elongation,wavelet.LHL_glcm_MaximumProbability,wavelet.LLL_glcm_Correlation,log.sigma.1.mm.3D_firstorder_90Percentile,wavelet.HLH_glcm_MCC,wavelet.HHL_firstorder_Median,wavelet.HHL_ngtdm_Contrast,original_firstorder_10Percentile
1,0.525164737,0.323470338,0.24941264,-1.654879129,-0.777703373,-0.345292821,-0.39647028,-0.683938832,-0.006689285,-0.175680635
0,0.476990116,0.22861056,0.257984493,1.574367285,0.605294579,-0.32724372,0.475796798,-0.415844163,-0.246180905,0.167928342
1,0.0619642,0.012052821,0.865592252,-1.178090281,-0.854340513,1.54090128,1.031279348,-0.017330975,-0.033310664,-0.133418568
1,1.324034061,-0.393361076,0.227539149,-0.736285505,0.945775258,-0.478760964,-0.927079045,0.290823635,-0.718189726,1.908023001
0,0.267283952,-0.779025761,-1.765903682,-0.965635105,0.189179801,-1.012900486,-0.701684047,-0.748477205,-0.17609292,1.30441044
0,-2.604990764,1.440328176,-0.314643518,0.84622841,-2.637429683,4.880359572,-0.709882601,-0.981086992,1.093488792,-0.765512087
1,0.430006391,0.267596642,0.43221385,-0.741874569,0.887229355,-0.817239333,-0.954557,0.296926354,-0.897752872,0.364538826
1,-0.26307131,1.21053341,0.063893649,-1.194277807,-0.132600837,0.95599511,0.689248714,-0.291607965,-0.024822355,-0.443952884
0,-0.163848678,-0.035915528,0.612057921,0.974771799,-1.035936367,-1.080771478,-0.604354804,0.68891497,0.35442043,-0.311654241
1,-0.285495116,-0.134418123,1.091100679,0.184429141,1.080171596,-0.576196428,-0.377086291,-0.130445042,-0.678871649,0.29195832
0,-0.781171484,-0.217033096,0.450265121,0.377640174,-1.206418064,0.345073857,-0.180733214,-0.032517599,-0.438539384,-0.330947793
1,1.912142636,0.075253042,0.85690252,0.121727984,1.133783454,-0.633358164,-0.694725301,0.177615266,-0.922832405,0.309414391
0,0.848151618,-0.50093801,-0.516364863,-0.120326922,-0.671099039,0.327817029,-0.291988816,0.03835817,-0.23736199,0.364538826
1,1.031754862,-2.08750836,1.133160821,0.178251471,0.99816459,-1.363958006,-1.488962958,0.790696683,-0.419420816,1.167518093
0,-0.20258699,-0.879055433,-0.023596183,-1.649768556,0.486828288,0.419725955,-0.850125698,1.076282583,-0.150045058,1.09953129
0,-0.213716687,-0.16932529,-0.3494247,-0.24673348,-0.624814053,-0.050878929,0.752940015,-1.003172367,-0.11397172,0.567580494
1,0.822531572,-0.186391784,1.311954056,0.57486668,0.549688597,-1.372164437,-0.816632992,0.468255197,0.158449108,0.217540333
0,-1.176102654,-0.372093217,-0.018145491,-1.213166844,0.025347283,0.012132758,1.277479705,-0.330604843,-0.091408955,0.431606889
0,-0.552910202,3.310315685,0.14053157,0.024899721,-0.641614583,2.545770985,0.306288674,-1.420842878,0.051788079,-0.583601452
0,0.579449091,-0.149561656,-1.624098592,-0.570068291,0.643848867,-0.476997469,-1.076824038,0.937710437,-0.570819218,0.18079071
0,-1.56799978,0.576366618,0.262275651,1.448779349,-1.253144307,-1.228398536,-0.88876129,-0.485874594,2.583866751,-0.407203261
1,-0.306666282,-3.119888981,0.991948401,-1.614555883,0.24103131,-0.934952346,-1.002494678,-0.595322137,-0.180144394,-0.361266232
0,0.021261514,0.763173046,1.250909216,-0.987813543,0.323238795,0.246069752,-0.77467283,0.233583904,-0.80111361,0.00623
1,0.754543216,0.197484151,-0.696118909,-0.543077895,0.958103764,-0.009943602,-0.213719484,-0.10405377,-0.580922209,0.29103958
0,-0.463055625,-0.070926556,-1.058216534,0.10475481,-0.317495658,2.661680746,0.879208648,-0.774540224,-0.421888784,0.017254887
0,-1.060668954,-0.07708407,0.818708624,2.052345237,-1.626613036,-0.783272379,1.735981956,1.22275119,2.484899178,0.234996404
0,0.860897486,0.625391968,-1.271426901,-1.463436176,0.372544451,0.674966727,-0.70795375,0.215600004,0.236782947,0.153228493
1,0.545299152,1.251902987,1.002007874,-1.258447655,0.803773193,0.525884301,-0.004823033,-0.325712186,-0.550926157,-0.409959483
1,1.391543591,0.108505876,-1.88922192,-0.414778143,0.813956095,-0.024292365,-0.324532036,-0.309979257,-0.759474514,-0.370453638
0,0.418873513,-0.238140037,1.297314185,-0.871311892,0.07291076,2.059531777,-0.276531677,-1.679181116,-0.095300351,-0.042463251
0,-0.032624799,-0.705450328,-0.448265013,-1.347068119,-0.370500824,-0.760148291,0.097891529,-1.822042565,-0.424778699,1.017763379
1,-0.255547909,0.23334761,0.602734246,-0.137877269,0.551764263,-0.347684062,-0.475580217,0.185948035,0.020761898,0.308240672
1,0.082931568,0.694545817,1.002945633,0.205901522,-0.217096235,0.098236555,-0.219736916,0.448733545,-0.666789194,-0.524866364
1,-0.396674761,-2.993001409,0.965978413,-1.469992229,-0.428052345,-1.141051269,-0.746400694,-0.809821011,-0.131902266,-0.009300514
1,-0.184075745,-0.053595658,0.95682755,0.175050575,0.535915107,0.086521252,0.71478134,0.025131494,-0.616852967,-0.000388988
1,1.277099551,-0.052718976,0.431373485,0.50501446,0.396991211,-0.67757039,-0.885288704,-0.068811348,-0.4679402,0.277772632
1,0.778947843,0.114875693,0.615475446,-1.668613012,0.292878467,-0.056816083,0.078095839,-0.491127668,-0.521737853,-0.514889928
1,0.08325131,0.044004649,0.258407087,-0.62858269,-0.494559654,-0.016048089,-0.220624685,-1.383947745,-0.078314351,-0.454687888
1,0.41261375,0.254449986,0.250787945,-1.398240268,-0.708384894,-0.263910321,-0.354985867,-0.861605333,-0.026642748,-0.245323135
1,-0.4661277,0.073120428,1.387491299,-0.049912479,0.516376561,-0.193009703,-0.425170761,-0.813428097,-0.463763204,-0.8681585
1,-0.315454628,1.620623318,0.678380067,-0.113731147,-0.451740109,0.292863305,-0.577380746,1.020874176,-0.414141614,-0.234911868
1,0.192175807,-2.112616917,-0.912891217,-1.839764307,0.836411528,0.621161128,-0.641728425,0.355023141,-0.60346098,0.82297856
1,0.485852561,-1.24195159,-0.760933814,-0.313026549,0.084517448,-0.524997701,-0.222069925,0.454572354,-0.774884643,1.516356344
1,0.144290056,0.045811564,0.278624304,-0.733919087,-0.414590141,-0.02897272,-0.213998836,-1.335309777,-0.128504973,-0.452305527
1,-0.020537838,0.02885063,0.729459594,0.011791684,0.448028128,0.005937654,0.385049965,-0.17223944,-0.665270947,-0.343592972
1,0.479792352,0.588755652,0.471718478,0.241765256,1.06027498,-0.927837445,-1.219250355,0.166173127,1.817389944,0.842621465
1,0.919184945,-0.278375438,1.132393564,-0.07494644,0.938949829,-1.089940503,-1.256148419,-0.453483134,-0.339058442,0.414403576
1,0.304793035,0.372909902,-1.160987941,-0.177583631,0.784595205,-0.512914266,-1.189447464,-0.001878782,-0.817424284,-0.031118483
1,0.382187728,-0.150734055,0.985253694,-0.256282994,0.606465019,-0.643654143,-0.643326097,0.183784427,0.118985494,0.678039979
1,0.653339265,-0.729781348,0.690736295,-0.617553127,-0.550334245,-0.212024894,0.699304511,0.159886937,-0.106249838,1.192736385
1,0.526669333,-0.995520303,0.128613445,-0.548726366,-0.796688389,-0.278392029,0.840341927,0.332516341,-0.295466762,1.300695395
1,0.821743212,-0.109524504,1.087089914,-0.087207987,0.270037824,-0.61872318,-0.898002578,0.257701731,-0.179482374,0.47665861
1,-0.511847439,-1.19508753,1.483045149,-0.835980992,0.449499389,-0.678039233,-0.439459413,0.755906797,-0.591880711,0.885103435
1,0.388218387,0.223561754,1.032421788,0.409905855,1.501235251,-0.860312683,-1.239510543,0.020978609,-0.526408332,0.157660057
1,0.73280287,0.670455327,0.342345557,-1.501593241,0.21047273,1.045761601,-0.336418991,-0.169917912,0.134270369,-0.036806383
1,1.503652413,0.034762455,0.432110829,0.33567916,1.297223298,-0.965703091,-1.317084866,0.130468602,-0.897886622,0.245406269
1,0.303373671,-1.587561219,-1.61962707,-0.499250847,0.414050831,-0.702487049,-0.287359061,-0.600098274,-0.754535943,2.459203154
1,0.201042787,-0.249249847,0.647022143,-0.059879998,-0.537393825,-0.721091845,-0.546017766,-3.980033576,0.006388211,-0.487854926
1,1.065731376,0.054967615,0.864759172,0.285495879,0.142211377,-0.550906341,-0.933281478,0.142838058,-0.462524078,0.11493392
1,-0.086176406,0.087127077,0.301615783,-0.531047413,-0.288809929,-0.052073907,-0.24158172,-1.151299368,-0.236052797,-0.581655126
1,1.431083491,0.089972018,1.1244746,-0.042874702,1.068748938,-0.74375255,-0.895151817,0.205179186,-0.639686737,0.728709834
1,0.472638611,0.251095397,1.308809603,0.544453936,1.543219543,-0.638706986,-1.08170493,0.311159468,-0.75726272,0.238714695
1,0.285659403,0.17659697,0.25233925,-1.108758849,-0.6301956,-0.17211315,-0.308192615,-1.062008151,-0.049149692,-0.323877917
1,-0.153792631,0.807597818,0.333429013,-1.188835474,-0.375253581,1.152643696,0.804241245,-0.199394572,-0.02767617,-0.339549584
1,0.186126743,0.244678232,0.128978352,-0.369650072,0.56957773,-0.522968052,-0.97228358,0.347024931,-0.610384643,0.533890555
